2023-07-30 10:02:42 status installed libncurses-dev:arm64 6.2+20201114-2+deb11u1
2023-07-30 10:02:42 configure libtool:all 2.4.6-15 <none>
2023-07-30 10:02:42 status unpacked libtool:all 2.4.6-15
2023-07-30 10:02:42 status half-configured libtool:all 2.4.6-15
2023-07-30 10:02:42 status installed libtool:all 2.4.6-15
2023-07-30 10:02:42 configure libfftw3-bin:arm64 3.3.8-2 <none>
2023-07-30 10:02:42 status unpacked libfftw3-bin:arm64 3.3.8-2
2023-07-30 10:02:42 status half-configured libfftw3-bin:arm64 3.3.8-2
2023-07-30 10:02:42 status installed libfftw3-bin:arm64 3.3.8-2
2023-07-30 10:02:42 configure libjq1:arm64 1.6-2.1 <none>
2023-07-30 10:02:42 status unpacked libjq1:arm64 1.6-2.1
2023-07-30 10:02:42 status half-configured libjq1:arm64 1.6-2.1
2023-07-30 10:02:42 status installed libjq1:arm64 1.6-2.1
2023-07-30 10:02:42 configure m4:arm64 1.4.18-5 <none>
2023-07-30 10:02:42 status unpacked m4:arm64 1.4.18-5
2023-07-30 10:02:42 status half-configured m4:arm64 1.4.18-5
2023-07-30 10:02:42 status installed m4:arm64 1.4.18-5
2023-07-30 10:02:42 configure git:arm64 1:2.30.2-1+deb11u2 <none>
2023-07-30 10:02:42 status unpacked git:arm64 1:2.30.2-1+deb11u2
2023-07-30 10:02:42 status half-configured git:arm64 1:2.30.2-1+deb11u2
2023-07-30 10:02:42 status installed git:arm64 1:2.30.2-1+deb11u2
2023-07-30 10:02:42 configure autoconf:all 2.69-14 <none>
2023-07-30 10:02:42 status unpacked autoconf:all 2.69-14
2023-07-30 10:02:42 status half-configured autoconf:all 2.69-14
2023-07-30 10:02:42 status installed autoconf:all 2.69-14
2023-07-30 10:02:42 configure libnetfilter-conntrack3:arm64 1.0.8-3 <none>
2023-07-30 10:02:42 status unpacked libnetfilter-conntrack3:arm64 1.0.8-3
2023-07-30 10:02:42 status half-configured libnetfilter-conntrack3:arm64 1.0.8-3
2023-07-30 10:02:42 status installed libnetfilter-conntrack3:arm64 1.0.8-3
2023-07-30 10:02:42 configure jq:arm64 1.6-2.1 <none>
2023-07-30 10:02:42 status unpacked jq:arm64 1.6-2.1
2023-07-30 10:02:42 status half-configured jq:arm64 1.6-2.1
2023-07-30 10:02:42 status installed jq:arm64 1.6-2.1
2023-07-30 10:02:42 configure cmake:arm64 3.18.4-2+rpt1+rpi1+deb11u1 <none>
2023-07-30 10:02:42 status unpacked cmake:arm64 3.18.4-2+rpt1+rpi1+deb11u1
2023-07-30 10:02:43 status half-configured cmake:arm64 3.18.4-2+rpt1+rpi1+deb11u1
2023-07-30 10:02:43 status installed cmake:arm64 3.18.4-2+rpt1+rpi1+deb11u1
2023-07-30 10:02:43 configure libfftw3-dev:arm64 3.3.8-2 <none>
2023-07-30 10:02:43 status unpacked libfftw3-dev:arm64 3.3.8-2
2023-07-30 10:02:43 status half-configured libfftw3-dev:arm64 3.3.8-2
2023-07-30 10:02:43 status installed libfftw3-dev:arm64 3.3.8-2
2023-07-30 10:02:43 configure automake:all 1:1.16.3-2 <none>
2023-07-30 10:02:43 status unpacked automake:all 1:1.16.3-2
2023-07-30 10:02:43 status half-configured automake:all 1:1.16.3-2
2023-07-30 10:02:43 status installed automake:all 1:1.16.3-2
2023-07-30 10:02:43 configure iptables:arm64 1.8.7-1 <none>
2023-07-30 10:02:43 status unpacked iptables:arm64 1.8.7-1
2023-07-30 10:02:43 status half-configured iptables:arm64 1.8.7-1
2023-07-30 10:02:43 status installed iptables:arm64 1.8.7-1
2023-07-30 10:02:43 configure dnsmasq-base:arm64 2.85-1 <none>
2023-07-30 10:02:43 status unpacked dnsmasq-base:arm64 2.85-1
2023-07-30 10:02:43 status half-configured dnsmasq-base:arm64 2.85-1
2023-07-30 10:02:44 status installed dnsmasq-base:arm64 2.85-1
2023-07-30 10:02:44 configure dnsmasq:all 2.85-1 <none>
2023-07-30 10:02:44 status unpacked dnsmasq:all 2.85-1
2023-07-30 10:02:44 status half-configured dnsmasq:all 2.85-1
2023-07-30 10:02:45 status installed dnsmasq:all 2.85-1
2023-07-30 10:02:45 configure libltdl-dev:arm64 2.4.6-15 <none>
2023-07-30 10:02:45 status unpacked libltdl-dev:arm64 2.4.6-15
2023-07-30 10:02:45 status half-configured libltdl-dev:arm64 2.4.6-15
2023-07-30 10:02:45 status installed libltdl-dev:arm64 2.4.6-15
2023-07-30 10:02:45 trigproc libc-bin:arm64 2.31-13+rpt2+rpi1+deb11u2 <none>
2023-07-30 10:02:45 status half-configured libc-bin:arm64 2.31-13+rpt2+rpi1+deb11u2
2023-07-30 10:02:46 status installed libc-bin:arm64 2.31-13+rpt2+rpi1+deb11u2
2023-07-30 10:02:46 trigproc man-db:arm64 2.9.4-2 <none>
2023-07-30 10:02:46 status half-configured man-db:arm64 2.9.4-2
2023-07-30 10:02:50 status installed man-db:arm64 2.9.4-2
2023-07-30 10:02:50 trigproc dbus:arm64 1.12.20-2 <none>
2023-07-30 10:02:50 status half-configured dbus:arm64 1.12.20-2
2023-07-30 10:02:50 status installed dbus:arm64 1.12.20-2
2023-07-30 10:02:54 startup packages remove
2023-07-30 10:02:54 status installed dphys-swapfile:all 20100506-7
2023-07-30 10:02:54 remove dphys-swapfile:all 20100506-7 <none>
2023-07-30 10:02:54 status half-configured dphys-swapfile:all 20100506-7
2023-07-30 10:02:54 status half-installed dphys-swapfile:all 20100506-7
2023-07-30 10:02:54 status triggers-pending man-db:arm64 2.9.4-2
2023-07-30 10:02:55 status config-files dphys-swapfile:all 20100506-7
2023-07-30 10:02:55 startup packages configure
2023-07-30 10:02:55 trigproc man-db:arm64 2.9.4-2 <none>
